nohup: ignoring input
wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /home/sagemaker-user/Molecular-Architect-RL/src/wandb/offline-run-20260624_165347-jsy947zl
wandb: View this run in the terminal with `wandb leet`
[0150] R=0.732 (std=1.400)  valid=1.000  uniq=0.500  div=0.592  kl=0.0334  clip=0.029  ev=-0.106  ent=0.048  curr=0.455  best=6.474  CC=C(F)CCNC(=O)CCO
[0155] R=0.705 (std=1.361)  valid=1.000  uniq=0.750  div=0.790  kl=0.0507  clip=0.070  ev=-0.692  ent=0.047  curr=0.473  best=6.474  CC=C(F)CCNC(=O)CCO
[0160] R=0.714 (std=1.354)  valid=1.000  uniq=0.625  div=0.801  kl=0.0080  clip=0.052  ev=-0.111  ent=0.046  curr=0.491  best=6.474  CC=C(F)CCNC(=O)CCO
[0165] R=0.717 (std=1.338)  valid=1.000  uniq=0.500  div=0.638  kl=0.0130  clip=0.074  ev=0.090  ent=0.044  curr=0.509  best=6.474  CC=C(F)CCNC(=O)CCO
[0170] R=0.685 (std=1.304)  valid=1.000  uniq=0.500  div=0.729  kl=0.0166  clip=0.041  ev=0.088  ent=0.043  curr=0.527  best=6.474  CC=C(F)CCNC(=O)CCO
[0175] R=0.496 (std=1.147)  valid=1.000  uniq=0.625  div=0.706  kl=0.0270  clip=0.111  ev=0.022  ent=0.042  curr=0.545  best=6.474  CC=C(F)CCNC(=O)CCO
[0180] R=0.679 (std=1.267)  valid=1.000  uniq=0.500  div=0.688  kl=0.0199  clip=0.014  ev=-0.754  ent=0.041  curr=0.564  best=6.474  CC=C(F)CCNC(=O)CCO
[0185] R=0.559 (std=1.165)  valid=1.000  uniq=0.500  div=0.552  kl=0.0156  clip=0.132  ev=0.154  ent=0.039  curr=0.582  best=6.474  CC=C(F)CCNC(=O)CCO
[0190] R=0.632 (std=1.203)  valid=1.000  uniq=0.500  div=0.586  kl=0.0158  clip=0.045  ev=-0.199  ent=0.038  curr=0.600  best=6.474  CC=C(F)CCNC(=O)CCO
[0195] R=0.540 (std=1.118)  valid=1.000  uniq=0.625  div=0.591  kl=0.0573  clip=0.143  ev=-0.405  ent=0.037  curr=0.618  best=6.474  CC=C(F)CCNC(=O)CCO
[0200] R=0.621 (std=1.163)  valid=1.000  uniq=0.625  div=0.735  kl=0.0129  clip=0.037  ev=-0.220  ent=0.035  curr=0.636  best=6.474  CC=C(F)CCNC(=O)CCO
