================================================================================
MOLECULAR RL EXPERIMENT LOG
Date: 2026-02-16 16:10:51
================================================================================

HYPERPARAMETERS:
--------------------
lr                  : 0.0003
gamma               : 0.99
gae_lambda          : 0.95
clip_epsilon        : 0.2
entropy_coef        : 0.05
value_coef          : 0.5
batch_size          : 256
ppo_epochs          : 4
buffer_size         : 2048
hidden_dim          : 64
max_steps           : 30
input_feats         : 9
num_actions         : 8
edge_dim            : 4
num_envs            : 8
curriculum_start    : 50
curriculum_end      : 300
--------------------

TRAINING PROGRESS:
Update   | Reward   | Valid %  | Unique % | Div    | KL       | ExpVar   | Best SMILES (Sample)
------------------------------------------------------------------------------------------------

[INFO]: Started training on cuda
280      | 0.439    | 100.00   | 100.00   | 0.92   | 0.0022   | 0.116    | CCO
285      | 0.432    | 100.00   | 100.00   | 0.92   | 0.0052   | 0.085    | CON
290      | 0.640    | 100.00   | 100.00   | 0.96   | 0.0080   | 0.117    | C=N
295      | 0.639    | 100.00   | 87.50    | 0.93   | 0.0037   | 0.105    | CN
300      | 0.531    | 100.00   | 100.00   | 0.93   | 0.0015   | 0.109    | C=NNN=NN=CC
305      | 0.497    | 100.00   | 87.50    | 0.92   | 0.0075   | 0.089    | CCN
310      | 0.483    | 100.00   | 87.50    | 0.93   | 0.0029   | 0.125    | N=CNONCC(=O)NCOC=O
315      | 0.471    | 100.00   | 100.00   | 0.94   | 0.0014   | 0.105    | C=NOCN=CNC
320      | 0.485    | 100.00   | 87.50    | 0.93   | 0.0040   | 0.105    | O=C=NN(O)NC=COONN=O
325      | 0.417    | 100.00   | 87.50    | 0.94   | 0.0046   | 0.120    | N=COOC=NN=O
330      | 0.535    | 100.00   | 100.00   | 0.93   | 0.0037   | 0.110    | C=C=O
335      | 0.630    | 100.00   | 87.50    | 0.91   | 0.0063   | 0.084    | CC
340      | 0.650    | 100.00   | 87.50    | 0.93   | 0.0026   | 0.099    | C
345      | 0.699    | 100.00   | 87.50    | 0.93   | 0.0094   | 0.150    | CON
350      | 0.536    | 100.00   | 100.00   | 0.96   | 0.0059   | 0.090    | COOON=O
355      | 0.436    | 100.00   | 75.00    | 0.84   | 0.0054   | 0.109    | NCNOCONN=NC=NOONOC=C=NCCOOOOONN
360      | 0.728    | 100.00   | 87.50    | 0.93   | 0.0044   | 0.106    | CNC
365      | 0.749    | 100.00   | 75.00    | 0.88   | 0.0064   | 0.105    | CNC
370      | 0.617    | 100.00   | 75.00    | 0.88   | 0.0039   | 0.096    | N=CC(=NONNOOC=NONCONN=NN=CC=O)ONCCC=O
375      | 0.562    | 100.00   | 87.50    | 0.94   | 0.0054   | 0.104    | C
380      | 0.555    | 100.00   | 87.50    | 0.90   | 0.0037   | 0.107    | C=N
385      | 0.619    | 100.00   | 100.00   | 0.92   | 0.0019   | 0.123    | C=N
390      | 0.628    | 100.00   | 87.50    | 0.90   | 0.0034   | 0.097    | O=C=NNN=CN=C=C=NOC(=O)NC=NCO
395      | 0.678    | 100.00   | 100.00   | 0.95   | 0.0066   | 0.105    | C=O
400      | 0.593    | 100.00   | 100.00   | 0.95   | 0.0044   | 0.096    | C
405      | 0.452    | 100.00   | 100.00   | 0.94   | 0.0044   | 0.126    | N=NCC=CNON=CNOON=C=O
410      | 0.738    | 100.00   | 87.50    | 0.89   | 0.0030   | 0.131    | O=NNCOOCNOOO
415      | 0.713    | 100.00   | 75.00    | 0.88   | 0.0054   | 0.112    | C
420      | 0.511    | 100.00   | 87.50    | 0.91   | 0.0065   | 0.101    | C=O
425      | 0.692    | 100.00   | 62.50    | 0.83   | 0.0039   | 0.117    | C
430      | 0.291    | 100.00   | 100.00   | 0.87   | 0.0158   | 0.103    | O=C=CNCOOON=C=NOCONCNN=C=O
435      | 0.666    | 100.00   | 87.50    | 0.94   | 0.0073   | 0.098    | C
440      | 0.534    | 100.00   | 87.50    | 0.94   | 0.0041   | 0.127    | CO
445      | 0.439    | 100.00   | 100.00   | 0.93   | 0.0035   | 0.101    | O=C=CCOC(=O)OOOC(=O)N=O
450      | 0.544    | 100.00   | 87.50    | 0.94   | 0.0042   | 0.103    | C
455      | 0.434    | 100.00   | 100.00   | 0.89   | 0.0031   | 0.116    | O=C=NCN=C=C=NN=C=O
460      | 0.667    | 100.00   | 100.00   | 0.93   | 0.0052   | 0.120    | COO
465      | 0.467    | 100.00   | 100.00   | 0.93   | 0.0079   | 0.103    | C=NONOCCC=CCN
470      | 0.577    | 100.00   | 100.00   | 0.96   | 0.0036   | 0.135    | O=C=CCNN(O)C(C=C=COONC=CN=O)=NN=C=O
475      | 0.595    | 100.00   | 75.00    | 0.89   | 0.0043   | 0.097    | C=NO
480      | 0.706    | 100.00   | 100.00   | 0.95   | 0.0047   | 0.111    | CN=CC=CNN=C=NOCNCNOCN=O
