MOLECULAR RL (2026 baseline)
================================================================================
lr                      : 0.0003
gamma                   : 0.99
gae_lambda              : 0.95
clip_epsilon            : 0.2
target_kl               : 0.02
entropy_coef_start      : 0.08
entropy_coef_end        : 0.01
value_coef              : 0.5
max_grad_norm           : 1.0
batch_size              : 256
ppo_epochs              : 10
buffer_size             : 2048
num_envs                : 8
updates                 : 800
hidden_dim              : 128
edge_dim                : 4
max_atoms               : 25
max_steps               : 40
min_atoms               : 5
curriculum_start        : 25
curriculum_end          : 300
log_every               : 5
save_every              : 50
eval_samples            : 256
project                 : molecular-rl-2026
run_name                : None
seed                    : 42
num_actions             : 119
input_feats             : 12
================================================================================
Update | R_mean   | R_std    | Valid%  | Unique%  | Div    | KL       | Clip   | ExpVar  | Ent    | Curr   | BestR   | BestSMILES
---------------------------------------------------------------------------------------------------------------------------------
0      | -0.092   | 0.474    | 100.0   | 62.5     | 0.773  | 0.0054   | 0.081  | -0.001  | 0.080  | 0.000  | 4.777   | O=c1nc(F)nc[nH]1
5      | -0.001   | 0.482    | 100.0   | 100.0    | 0.942  | 0.0128   | 0.148  | -0.002  | 0.080  | 0.000  | 6.174   | CCNCC(Cl)=CCO
10     | 0.254    | 0.881    | 100.0   | 100.0    | 0.943  | 0.0155   | 0.270  | 0.000   | 0.080  | 0.000  | 6.174   | CCNCC(Cl)=CCO
15     | 0.608    | 1.498    | 100.0   | 87.5     | 0.823  | 0.0132   | 0.095  | -0.025  | 0.080  | 0.000  | 6.474   | CC=C(F)CCNC(=O)CCO
20     | 0.793    | 1.723    | 100.0   | 100.0    | 0.853  | 0.0112   | 0.116  | -0.035  | 0.080  | 0.000  | 6.474   | CC=C(F)CCNC(=O)CCO
25     | 0.843    | 1.771    | 100.0   | 75.0     | 0.816  | 0.0147   | 0.081  | -0.087  | 0.080  | 0.000  | 6.474   | CC=C(F)CCNC(=O)CCO
30     | 0.688    | 1.654    | 100.0   | 87.5     | 0.915  | 0.0150   | 0.113  | 0.166   | 0.079  | 0.018  | 6.474   | CC=C(F)CCNC(=O)CCO
35     | 0.854    | 1.783    | 100.0   | 75.0     | 0.756  | 0.0174   | 0.157  | 0.031   | 0.077  | 0.036  | 6.474   | CC=C(F)CCNC(=O)CCO
40     | 0.927    | 1.848    | 100.0   | 62.5     | 0.790  | 0.0135   | 0.100  | -0.027  | 0.076  | 0.055  | 6.474   | CC=C(F)CCNC(=O)CCO
45     | 0.910    | 1.822    | 100.0   | 75.0     | 0.781  | 0.0191   | 0.133  | -0.346  | 0.075  | 0.073  | 6.474   | CC=C(F)CCNC(=O)CCO
50     | 0.795    | 1.720    | 100.0   | 75.0     | 0.835  | 0.0154   | 0.086  | 0.002   | 0.074  | 0.091  | 6.474   | CC=C(F)CCNC(=O)CCO
55     | 0.744    | 1.694    | 100.0   | 62.5     | 0.714  | 0.0259   | 0.137  | -0.001  | 0.072  | 0.109  | 6.474   | CC=C(F)CCNC(=O)CCO
60     | 0.796    | 1.720    | 100.0   | 25.0     | 0.223  | 0.0126   | 0.073  | -0.225  | 0.071  | 0.127  | 6.474   | CC=C(F)CCNC(=O)CCO
65     | 0.787    | 1.696    | 100.0   | 37.5     | 0.567  | 0.0158   | 0.131  | 0.022   | 0.070  | 0.145  | 6.474   | CC=C(F)CCNC(=O)CCO
