MOLECULAR RL (2026 baseline)
================================================================================
lr                      : 0.0003
gamma                   : 0.99
gae_lambda              : 0.95
clip_epsilon            : 0.2
target_kl               : 0.02
entropy_coef_start      : 0.08
entropy_coef_end        : 0.01
value_coef              : 0.5
max_grad_norm           : 1.0
batch_size              : 256
ppo_epochs              : 10
buffer_size             : 2048
num_envs                : 8
updates                 : 800
hidden_dim              : 128
edge_dim                : 4
max_atoms               : 25
max_steps               : 40
min_atoms               : 5
curriculum_start        : 25
curriculum_end          : 300
log_every               : 5
save_every              : 50
eval_samples            : 256
project                 : molecular-rl-2026
run_name                : None
seed                    : 42
num_actions             : 119
input_feats             : 12
================================================================================
Update | R_mean   | R_std    | Valid%  | Unique%  | Div    | KL       | Clip   | ExpVar  | Ent    | Curr   | BestR   | BestSMILES
---------------------------------------------------------------------------------------------------------------------------------
0      | 0.057    | 0.752    | 100.0   | 62.5     | 0.773  | 0.0075   | 0.100  | -0.000  | 0.080  | 0.000  | 5.183   | FC1=C=C2N=CN=NC=C1N2
5      | 0.281    | 0.989    | 100.0   | 100.0    | 0.943  | 0.0149   | 0.160  | 0.081   | 0.080  | 0.000  | 6.150   | CC1NC2S#COC(F)=CN2O1
10     | 0.446    | 1.253    | 100.0   | 100.0    | 0.938  | 0.0104   | 0.190  | 0.394   | 0.080  | 0.000  | 6.468   | CCNC12C#S(=S=N1)N2Cl
15     | 0.549    | 1.424    | 100.0   | 100.0    | 0.967  | 0.0144   | 0.150  | 0.040   | 0.080  | 0.000  | 6.468   | CCNC12C#S(=S=N1)N2Cl
20     | 0.481    | 1.379    | 100.0   | 100.0    | 0.941  | 0.0139   | 0.183  | 0.143   | 0.080  | 0.000  | 7.249   | CCCOS1(Cl)#CC2ON=S2C1
25     | 0.523    | 1.480    | 100.0   | 62.5     | 0.809  | 0.0152   | 0.210  | 0.104   | 0.080  | 0.000  | 7.384   | CCCC1(C#S#S#N)C2=CC34C2=CC3C(F)C14
30     | 0.421    | 1.402    | 100.0   | 62.5     | 0.720  | 0.0143   | 0.183  | 0.260   | 0.079  | 0.018  | 8.473   | C#S#S#CC12OC34OC5(CNCC)C6C1C53C2C64F
35     | 0.360    | 1.391    | 100.0   | 100.0    | 0.933  | 0.0113   | 0.136  | 0.353   | 0.077  | 0.036  | 8.677   | C#S#S#CCC1CC2C(COCl)C3NCCC123
40     | 0.290    | 1.294    | 100.0   | 100.0    | 0.919  | 0.0151   | 0.149  | 0.342   | 0.076  | 0.055  | 8.677   | C#S#S#CCC1CC2C(COCl)C3NCCC123
45     | 0.358    | 1.463    | 100.0   | 100.0    | 0.844  | 0.0118   | 0.189  | 0.424   | 0.075  | 0.073  | 8.677   | C#S#S#CCC1CC2C(COCl)C3NCCC123
50     | 0.347    | 1.432    | 100.0   | 100.0    | 0.893  | 0.0138   | 0.208  | 0.276   | 0.074  | 0.091  | 8.794   | CCC1CC2(COF)COC#S#S#COC(O)C12
55     | 0.362    | 1.514    | 100.0   | 100.0    | 0.875  | 0.0127   | 0.133  | 0.346   | 0.072  | 0.109  | 8.794   | CCC1CC2(COF)COC#S#S#COC(O)C12
60     | 0.386    | 1.596    | 100.0   | 100.0    | 0.858  | 0.0137   | 0.169  | 0.280   | 0.071  | 0.127  | 8.828   | OC1=C(CC2COC(COC#S#S#CF)O2)CC1
65     | 0.447    | 1.737    | 100.0   | 100.0    | 0.919  | 0.0163   | 0.120  | 0.391   | 0.070  | 0.145  | 8.856   | OCC1CC2CCOC1C2OC#S#S#COCF
70     | 0.490    | 1.867    | 100.0   | 87.5     | 0.648  | 0.0127   | 0.135  | 0.311   | 0.069  | 0.164  | 8.924   | OCC1CCC2COC2CC1OC#S#S#COCF
