MOLECULAR RL (2026 baseline)
================================================================================
lr                      : 0.0003
gamma                   : 0.99
gae_lambda              : 0.95
clip_epsilon            : 0.2
target_kl               : 0.02
entropy_coef_start      : 0.08
entropy_coef_end        : 0.01
value_coef              : 0.5
max_grad_norm           : 1.0
batch_size              : 256
ppo_epochs              : 10
buffer_size             : 2048
num_envs                : 8
updates                 : 800
hidden_dim              : 128
edge_dim                : 4
max_atoms               : 25
max_steps               : 40
min_atoms               : 5
curriculum_start        : 25
curriculum_end          : 300
log_every               : 5
save_every              : 50
eval_samples            : 256
project                 : molecular-rl-2026
run_name                : None
seed                    : 42
num_actions             : 119
input_feats             : 12
================================================================================
Update | R_mean   | R_std    | Valid%  | Unique%  | Div    | KL       | Clip   | ExpVar  | Ent    | Curr   | BestR   | BestSMILES
75     | 0.490    | 1.861    | 100.0   | 87.5     | 0.652  | 0.0265   | 0.151  | 0.185   | 0.067  | 0.182  | 8.928   | NCC1CCC2CCOC2C1OC#S#S#COCF
80     | 0.499    | 1.907    | 100.0   | 100.0    | 0.749  | 0.0118   | 0.102  | 0.480   | 0.066  | 0.200  | 8.950   | CCC1CCC2CNC2C1OC#S#S#COCF
85     | 0.480    | 1.871    | 100.0   | 87.5     | 0.816  | 0.0203   | 0.085  | 0.353   | 0.065  | 0.218  | 9.006   | OCCC1OCCCC12COC2C#S#S#COCF
90     | 0.459    | 1.848    | 100.0   | 87.5     | 0.749  | 0.0144   | 0.106  | 0.451   | 0.063  | 0.236  | 9.008   | OCC1CC2CC3COC32C1OC#S#S#COCF
95     | 0.470    | 1.880    | 100.0   | 100.0    | 0.604  | 0.0210   | 0.106  | 0.686   | 0.062  | 0.255  | 9.051   | OCC1COCCC2CCC21OC#S#S#COCF
100    | 0.504    | 1.956    | 100.0   | 100.0    | 0.519  | 0.0158   | 0.070  | 0.834   | 0.061  | 0.273  | 9.075   | OCC1CCC2CCC2C1OC#S#S#COCF
105    | 0.525    | 1.991    | 100.0   | 75.0     | 0.638  | 0.0145   | 0.055  | 0.694   | 0.060  | 0.291  | 9.104   | NCC1CCC2CCOC2C1OC#S#S#COCF
110    | 0.522    | 1.989    | 100.0   | 50.0     | 0.768  | 0.0169   | 0.089  | 0.700   | 0.058  | 0.309  | 9.128   | OCC1CCC2CCC2C1OC#S#S#COCF
115    | 0.401    | 1.772    | 100.0   | 75.0     | 0.720  | 0.0633   | 0.144  | 0.467   | 0.057  | 0.327  | 9.152   | OCC1CCCC2COC2C1OC#S#S#COCF
120    | 0.502    | 1.959    | 100.0   | 87.5     | 0.679  | 0.0185   | 0.099  | 0.543   | 0.056  | 0.345  | 9.160   | OCC1OCCC2CCC21OC#S#S#COCF
125    | 0.481    | 1.919    | 100.0   | 75.0     | 0.775  | 0.0156   | 0.070  | 0.379   | 0.055  | 0.364  | 9.193   | OCC1CCCC2CCC12OC#S#S#COCF
130    | 0.514    | 1.999    | 100.0   | 87.5     | 0.656  | 0.0081   | 0.043  | 0.865   | 0.053  | 0.382  | 9.211   | NC1CCC1C1CC2CCC21OC#S#S#COCF
135    | 0.512    | 2.001    | 100.0   | 100.0    | 0.777  | 0.0064   | 0.043  | 0.763   | 0.052  | 0.400  | 9.237   | NCCC1CCC2CCC12OC#S#S#COCF
140    | 0.512    | 1.997    | 100.0   | 75.0     | 0.638  | 0.0118   | 0.043  | 0.242   | 0.051  | 0.418  | 9.266   | OCC1CCCC2CCC12OC#S#S#COCF
145    | 0.148    | 0.973    | 100.0   | 100.0    | 0.634  | 0.0183   | 0.110  | 0.192   | 0.049  | 0.436  | 9.665   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
150    | 0.472    | 1.910    | 100.0   | 87.5     | 0.757  | 0.0148   | 0.073  | 0.515   | 0.048  | 0.455  | 9.665   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
155    | 0.510    | 1.999    | 100.0   | 100.0    | 0.836  | 0.0152   | 0.061  | 0.547   | 0.047  | 0.473  | 9.665   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
160    | 0.491    | 1.969    | 100.0   | 75.0     | 0.592  | 0.0133   | 0.057  | 0.792   | 0.046  | 0.491  | 9.665   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
165    | 0.515    | 2.023    | 100.0   | 62.5     | 0.693  | 0.0211   | 0.075  | 0.809   | 0.044  | 0.509  | 9.665   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
170    | 0.485    | 1.907    | 100.0   | 100.0    | 0.823  | 0.0176   | 0.063  | -0.029  | 0.043  | 0.527  | 9.665   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
175    | 0.507    | 2.014    | 100.0   | 75.0     | 0.620  | 0.0128   | 0.052  | 0.779   | 0.042  | 0.545  | 9.772   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
180    | 0.509    | 2.022    | 100.0   | 87.5     | 0.744  | 0.0206   | 0.056  | 0.626   | 0.041  | 0.564  | 9.772   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
185    | 0.517    | 2.033    | 100.0   | 100.0    | 0.774  | 0.0218   | 0.075  | 0.487   | 0.039  | 0.582  | 9.772   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
190    | 0.493    | 1.994    | 100.0   | 100.0    | 0.759  | 0.0157   | 0.091  | 0.391   | 0.038  | 0.600  | 9.772   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
195    | 0.529    | 2.073    | 100.0   | 87.5     | 0.797  | 0.0182   | 0.055  | 0.876   | 0.037  | 0.618  | 9.772   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
200    | 0.518    | 2.053    | 100.0   | 100.0    | 0.728  | 0.0196   | 0.023  | 0.576   | 0.035  | 0.636  | 9.772   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
205    | 0.450    | 1.919    | 100.0   | 87.5     | 0.779  | 0.0172   | 0.133  | 0.451   | 0.034  | 0.655  | 9.772   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
210    | 0.525    | 2.076    | 100.0   | 100.0    | 0.652  | 0.0125   | 0.040  | 0.843   | 0.033  | 0.673  | 9.772   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
215    | 0.437    | 1.866    | 100.0   | 100.0    | 0.683  | 0.0220   | 0.081  | 0.099   | 0.032  | 0.691  | 9.772   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
220    | 0.545    | 2.122    | 100.0   | 87.5     | 0.842  | 0.0219   | 0.054  | 0.733   | 0.030  | 0.709  | 9.772   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
225    | 0.540    | 2.116    | 100.0   | 100.0    | 0.744  | 0.0319   | 0.069  | 0.784   | 0.029  | 0.727  | 9.772   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
230    | 0.500    | 2.003    | 100.0   | 75.0     | 0.709  | 0.0111   | 0.055  | 0.366   | 0.028  | 0.745  | 9.772   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
235    | 0.508    | 2.049    | 100.0   | 87.5     | 0.696  | 0.0434   | 0.032  | 0.412   | 0.027  | 0.764  | 9.772   | FCOC#S#S#COC12CCC1CC2c1c[nH]o1
240    | 0.269    | 1.418    | 100.0   | 100.0    | 0.666  | 0.0129   | 0.088  | 0.006   | 0.025  | 0.782  | 9.852   | OCCC1CC2CC3C(S#S#COCF)OC123
245    | 0.493    | 2.020    | 100.0   | 62.5     | 0.689  | 0.0162   | 0.081  | 0.609   | 0.024  | 0.800  | 9.852   | OCCC1CC2CC3C(S#S#COCF)OC123
250    | 0.520    | 2.092    | 100.0   | 87.5     | 0.651  | 0.0203   | 0.078  | 0.433   | 0.023  | 0.818  | 9.919   | OCCC1CCC12COC(OC#S#S#CF)O2
255    | 0.572    | 2.192    | 100.0   | 87.5     | 0.825  | 0.0180   | 0.056  | 0.354   | 0.021  | 0.836  | 9.919   | OCCC1CCC12COC(OC#S#S#CF)O2
260    | 0.416    | 1.600    | 100.0   | 75.0     | 0.753  | 0.0245   | 0.104  | 0.189   | 0.020  | 0.855  | 9.919   | OCCC1CCC12COC(OC#S#S#CF)O2
265    | 0.544    | 2.141    | 100.0   | 87.5     | 0.677  | 0.0164   | 0.030  | 0.424   | 0.019  | 0.873  | 9.919   | OCCC1CCC12COC(OC#S#S#CF)O2
270    | 0.550    | 2.165    | 100.0   | 62.5     | 0.665  | 0.0040   | 0.006  | 0.766   | 0.018  | 0.891  | 9.981   | OCCC1CC2C3OC12C3OC#S#S#CF
275    | 0.298    | 1.365    | 100.0   | 100.0    | 0.694  | 0.0279   | 0.110  | -0.233  | 0.016  | 0.909  | 10.013  | OCCC1CC2CC3OC12C3OC#S#S#CF
280    | 0.530    | 2.124    | 100.0   | 87.5     | 0.664  | 0.0190   | 0.053  | 0.447   | 0.015  | 0.927  | 10.045  | OCCC1CC2C3OC12C3OC#S#S#CF
285    | 0.474    | 1.845    | 100.0   | 87.5     | 0.751  | 0.0356   | 0.048  | -0.039  | 0.014  | 0.945  | 10.057  | OCCC1CC2C3OC12C3OC#S#S#CF
290    | 0.582    | 2.247    | 100.0   | 87.5     | 0.804  | 0.0146   | 0.015  | 0.947   | 0.013  | 0.964  | 10.066  | OCC1CC2CCC12OC#S#S#COCF
295    | 0.577    | 2.238    | 100.0   | 75.0     | 0.793  | 0.0432   | 0.047  | 0.837   | 0.011  | 0.982  | 10.095  | OCC1CC2CCC12OC#S#S#COCF
300    | 0.551    | 2.191    | 100.0   | 87.5     | 0.764  | 0.0290   | 0.008  | 0.979   | 0.010  | 1.000  | 10.125  | OCC1CC2CCC12OC#S#S#COCF
305    | 0.487    | 2.033    | 100.0   | 100.0    | 0.748  | 0.0184   | 0.093  | 0.176   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
310    | 0.251    | 1.383    | 100.0   | 87.5     | 0.740  | 0.0162   | 0.108  | -0.137  | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
315    | 0.415    | 1.854    | 100.0   | 75.0     | 0.680  | 0.0173   | 0.057  | 0.096   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
320    | 0.527    | 2.145    | 100.0   | 100.0    | 0.651  | 0.0129   | 0.053  | 0.939   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
325    | 0.430    | 1.917    | 100.0   | 100.0    | 0.664  | 0.0444   | 0.099  | -0.067  | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
330    | 0.526    | 2.142    | 100.0   | 87.5     | 0.680  | 0.0163   | 0.055  | 0.933   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
335    | 0.532    | 2.158    | 100.0   | 87.5     | 0.650  | 0.0086   | 0.009  | 0.886   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
340    | 0.492    | 2.028    | 100.0   | 87.5     | 0.804  | 0.0132   | 0.049  | -0.014  | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
345    | 0.559    | 2.277    | 100.0   | 100.0    | 0.655  | 0.0058   | 0.014  | 0.921   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
350    | 0.601    | 2.350    | 100.0   | 75.0     | 0.794  | 0.0298   | 0.080  | 0.386   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
355    | 0.433    | 1.879    | 100.0   | 87.5     | 0.795  | 0.0191   | 0.069  | -0.019  | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
360    | 0.572    | 2.295    | 100.0   | 87.5     | 0.534  | 0.0228   | 0.028  | 0.296   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
365    | 0.560    | 2.281    | 100.0   | 87.5     | 0.695  | 0.0112   | 0.010  | 0.466   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
370    | 0.331    | 1.630    | 100.0   | 87.5     | 0.782  | 0.0180   | 0.075  | -0.009  | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
375    | 0.506    | 2.158    | 100.0   | 87.5     | 0.620  | 0.0171   | 0.038  | 0.814   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
380    | 0.575    | 2.316    | 100.0   | 62.5     | 0.798  | 0.0334   | 0.024  | 0.991   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
385    | 0.543    | 2.246    | 100.0   | 75.0     | 0.711  | 0.0459   | 0.042  | 0.985   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
390    | 0.564    | 2.290    | 100.0   | 100.0    | 0.701  | 0.0202   | 0.016  | 0.978   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
395    | 0.495    | 2.133    | 100.0   | 87.5     | 0.573  | 0.0196   | 0.040  | 0.917   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
400    | 0.536    | 2.201    | 100.0   | 100.0    | 0.715  | 0.0208   | 0.037  | 0.837   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
405    | 0.564    | 2.278    | 100.0   | 100.0    | 0.743  | 0.0146   | 0.059  | 0.673   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
410    | 0.577    | 2.309    | 100.0   | 87.5     | 0.604  | 0.0067   | 0.010  | 0.635   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
415    | 0.539    | 2.218    | 100.0   | 75.0     | 0.760  | 0.0230   | 0.051  | 0.577   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
420    | 0.492    | 2.067    | 100.0   | 100.0    | 0.812  | 0.0161   | 0.065  | -0.378  | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
425    | 0.560    | 2.282    | 100.0   | 75.0     | 0.639  | 0.0015   | 0.000  | 0.963   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
430    | 0.426    | 1.927    | 100.0   | 62.5     | 0.684  | 0.0406   | 0.114  | 0.161   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
435    | 0.582    | 2.314    | 100.0   | 75.0     | 0.616  | 0.0130   | 0.060  | 0.821   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
440    | 0.596    | 2.355    | 100.0   | 75.0     | 0.756  | 0.0098   | 0.005  | 0.974   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
445    | 0.594    | 2.326    | 100.0   | 75.0     | 0.413  | 0.0162   | 0.018  | 0.621   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
450    | 0.587    | 2.330    | 100.0   | 87.5     | 0.645  | 0.0157   | 0.030  | 0.592   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
455    | 0.587    | 2.337    | 100.0   | 75.0     | 0.669  | 0.0069   | 0.038  | 0.286   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
460    | 0.595    | 2.354    | 100.0   | 75.0     | 0.758  | 0.0662   | 0.031  | 0.906   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
465    | 0.554    | 2.269    | 100.0   | 75.0     | 0.685  | 0.0166   | 0.038  | 0.921   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
470    | 0.560    | 2.270    | 100.0   | 87.5     | 0.726  | 0.0084   | 0.037  | 0.573   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
475    | 0.580    | 2.325    | 100.0   | 87.5     | 0.584  | 0.0165   | 0.017  | 0.963   | 0.010  | 1.000  | 10.801  | OCCC1COCCS12#CCCCC2OCF
480    | 0.588    | 2.336    | 100.0   | 87.5     | 0.778  | 0.0174   | 0.060  | 0.263   | 0.010  | 1.000  | 10.806  | OCC1CC2CC3C(CCS#COCl)CC123
485    | 0.602    | 2.366    | 100.0   | 100.0    | 0.769  | 0.0375   | 0.050  | 0.985   | 0.010  | 1.000  | 10.806  | OCC1CC2CC3C(CCS#COCl)CC123
490    | 0.615    | 2.387    | 100.0   | 87.5     | 0.651  | 0.0099   | 0.010  | 0.953   | 0.010  | 1.000  | 10.806  | OCC1CC2CC3C(CCS#COCl)CC123
495    | 0.601    | 2.336    | 100.0   | 87.5     | 0.837  | 0.0215   | 0.045  | 0.707   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
500    | 0.602    | 2.363    | 100.0   | 87.5     | 0.734  | 0.0142   | 0.041  | 0.932   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
505    | 0.587    | 2.245    | 100.0   | 75.0     | 0.796  | 0.0124   | 0.007  | 0.944   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
510    | 0.577    | 2.223    | 100.0   | 62.5     | 0.680  | 0.0124   | 0.011  | 0.658   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
515    | 0.598    | 2.268    | 100.0   | 62.5     | 0.786  | 0.0025   | 0.004  | 0.906   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
520    | 0.561    | 2.160    | 100.0   | 100.0    | 0.487  | 0.0287   | 0.064  | 0.256   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
525    | 0.568    | 2.209    | 100.0   | 87.5     | 0.522  | 0.0552   | 0.024  | 0.844   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
530    | 0.578    | 2.226    | 100.0   | 100.0    | 0.654  | 0.0229   | 0.074  | 0.266   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
535    | 0.454    | 1.931    | 100.0   | 87.5     | 0.732  | 0.0185   | 0.057  | 0.213   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
540    | 0.563    | 2.200    | 100.0   | 87.5     | 0.607  | 0.0174   | 0.014  | 0.942   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
545    | 0.582    | 2.239    | 100.0   | 100.0    | 0.721  | 0.0297   | 0.015  | 0.882   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
550    | 0.584    | 2.241    | 100.0   | 100.0    | 0.715  | 0.0526   | 0.026  | 0.978   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
555    | 0.589    | 2.252    | 100.0   | 75.0     | 0.633  | 0.1190   | 0.029  | 0.951   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
560    | 0.610    | 2.284    | 100.0   | 87.5     | 0.744  | 0.0226   | 0.026  | 0.957   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
565    | 0.540    | 2.152    | 100.0   | 100.0    | 0.720  | 0.0078   | 0.050  | 0.957   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
570    | 0.560    | 2.193    | 100.0   | 100.0    | 0.632  | 0.0234   | 0.046  | 0.933   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
575    | 0.521    | 2.088    | 100.0   | 100.0    | 0.736  | 0.0148   | 0.041  | 0.628   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
580    | 0.578    | 2.231    | 100.0   | 87.5     | 0.719  | 0.0227   | 0.043  | 0.910   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
585    | 0.588    | 2.316    | 100.0   | 100.0    | 0.682  | 0.0232   | 0.058  | 0.687   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
590    | 0.585    | 2.252    | 100.0   | 87.5     | 0.801  | 0.0129   | 0.013  | 0.289   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
595    | 0.577    | 2.213    | 100.0   | 87.5     | 0.683  | 0.0005   | 0.003  | 0.886   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
600    | 0.613    | 2.348    | 100.0   | 62.5     | 0.715  | 0.0167   | 0.080  | 0.601   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
605    | 0.619    | 2.382    | 100.0   | 100.0    | 0.715  | 0.0142   | 0.018  | 0.739   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
610    | 0.614    | 2.380    | 100.0   | 87.5     | 0.673  | 0.0105   | 0.013  | 0.897   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
615    | 0.503    | 2.142    | 100.0   | 87.5     | 0.752  | 0.0384   | 0.065  | 0.097   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
620    | 0.266    | 1.540    | 100.0   | 75.0     | 0.744  | 0.0162   | 0.093  | 0.057   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
625    | 0.584    | 2.325    | 100.0   | 75.0     | 0.540  | 0.0049   | 0.005  | 0.883   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
630    | 0.600    | 2.357    | 100.0   | 62.5     | 0.636  | 0.0008   | 0.000  | 0.995   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
635    | 0.600    | 2.357    | 100.0   | 87.5     | 0.758  | 0.0074   | 0.007  | 0.999   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
640    | 0.589    | 2.336    | 100.0   | 87.5     | 0.781  | 0.0081   | 0.001  | 0.990   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
645    | 0.589    | 2.336    | 100.0   | 100.0    | 0.773  | 0.0123   | 0.010  | 0.998   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
650    | 0.589    | 2.335    | 100.0   | 75.0     | 0.587  | 0.0070   | 0.001  | 0.990   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
655    | 0.589    | 2.336    | 100.0   | 62.5     | 0.570  | 0.0159   | 0.008  | 0.995   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
660    | 0.610    | 2.377    | 100.0   | 87.5     | 0.783  | 0.0212   | 0.038  | 0.877   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
665    | 0.584    | 2.324    | 100.0   | 87.5     | 0.762  | 0.0349   | 0.027  | 0.985   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
670    | 0.561    | 2.205    | 100.0   | 87.5     | 0.728  | 0.0123   | 0.068  | 0.145   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
675    | 0.605    | 2.365    | 100.0   | 87.5     | 0.774  | 0.0145   | 0.035  | 0.896   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
680    | 0.591    | 2.324    | 100.0   | 100.0    | 0.749  | 0.0084   | 0.042  | 0.224   | 0.010  | 1.000  | 10.824  | OCCC1COC12CC(CCS#COCl)O2
685    | 0.550    | 2.246    | 100.0   | 100.0    | 0.811  | 0.0513   | 0.055  | 0.696   | 0.010  | 1.000  | 10.826  | OCCC1CC2CC3=C(S#COCl)CC12C3
690    | 0.602    | 2.353    | 100.0   | 75.0     | 0.780  | 0.0199   | 0.039  | 0.917   | 0.010  | 1.000  | 10.826  | OCCC1CC2CC3=C(S#COCl)CC12C3
695    | 0.620    | 2.396    | 100.0   | 75.0     | 0.781  | 0.0086   | 0.005  | 0.958   | 0.010  | 1.000  | 10.826  | OCCC1CC2CC3=C(S#COCl)CC12C3
